"Age","Status","Studies","YearsOfExperience","Condition_Word_Length","Nesting_Level","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","M"
"undefined","undefined","undefined","undefined",6,9,4,1,3,1,"false",447,
"undefined","undefined","undefined","undefined",8,9,4,1,4,1,"false",420,
"undefined","undefined","undefined","undefined",8,5,0,1,6,1,"false",390,
"undefined","undefined","undefined","undefined",2,9,4,1,5,1,"false",385,
"undefined","undefined","undefined","undefined",6,4,1,1,1,1,"true",378,
"undefined","undefined","undefined","undefined",6,2,3,1,5,1,"false",435,
"undefined","undefined","undefined","undefined",8,6,1,1,7,1,"false",424,
"undefined","undefined","undefined","undefined",6,6,1,1,4,1,"false",420,
"undefined","undefined","undefined","undefined",2,9,4,1,4,1,"false",386,
"undefined","undefined","undefined","undefined",2,6,1,1,6,1,"false",432,
"undefined","undefined","undefined","undefined",6,4,1,1,10,1,"false",439,
"undefined","undefined","undefined","undefined",4,8,3,1,6,1,"false",419,
"undefined","undefined","undefined","undefined",6,8,3,1,2,1,"false",446,
"undefined","undefined","undefined","undefined",6,3,2,1,3,1,"false",441,
"undefined","undefined","undefined","undefined",2,9,4,1,8,1,"false",401,
"undefined","undefined","undefined","undefined",6,2,3,1,9,1,"false",463,
"undefined","undefined","undefined","undefined",2,3,2,1,5,1,"false",446,
"undefined","undefined","undefined","undefined",8,4,1,1,4,1,"false",428,
"undefined","undefined","undefined","undefined",2,8,3,1,4,1,"false",408,
"undefined","undefined","undefined","undefined",2,2,3,1,8,1,"false",409,
"undefined","undefined","undefined","undefined",8,1,4,1,9,1,"false",412,
"undefined","undefined","undefined","undefined",2,2,3,1,9,1,"false",384,
"undefined","undefined","undefined","undefined",4,8,3,1,3,1,"false",402,
